query,ground_truths,result,source_documents
What are the assumptions associated with ANCOVA?,"ANCOVA assumptions include linearity, homogeneity of variances, normal distribution of residuals, and optionally, homogeneity of slopes."," The assumptions associated with ANCOVA are that the relationship between the dependent and independent variables must be linear for each treatment group, and that the variance between groups is homogeneous.","[Document(page_content='==\n\'\'\'Regression assumptions\'\'\'  \n# The relationship between dependent and independent variables must be linear for each treatment group.\n\'\'\'ANOVA assumptions\'\'\'\n# Variances between groups are homogeneous.\n# Residuals are randomly and normally distributed.\n\'\'\'Specific ANCOVA assumptions\'\'\'\n# A further specific (but optional) assumption is homogeneity of slopes. It is optional because it is only required to simplify the model for estimation of adjusted means.\n\n\n==What is One-way ANCOVA?==\nOne-way ANCOVA compares the variance in the group means within a sample with only one independent variable or factor that has three or more than three categorical groups whilst considering the coavriate. Since ANCOVA is hypothesis-based test, we need to have a understanding and well developed question about our data that we want an answer to, before we can generate a hypothesis and run the test.\n\n\n===Data preparation===\nIn order to demonstrate One-way ANCOVA test we will refer to balanced dataset ""anxiety"" taken'), Document(page_content='\'\'\'In short:\'\'\'\nAnalysis of covariance (ANCOVA) is a statistical test that compares the means of more than two groups by taking under the control the ""noise"" caused by covariate variable that is not of experimental interest. This is done in order to see the true effect of the variable of interest on a dependent variable.\n\n== Prerequites ==\n\n\'\'\'Prerequisite knowledge\'\'\'\nAn understanding of the [[ANOVA]]\n* Main effects and interaction effects\n* Sum of squares\n* Mean squares\n* ANOVA tables\n* F-statistics and significance values\n* Post-hoc analysis (Tukey, Bonferonni, etc.)\nAn understanding of Linear Regression\n* Regression slopes\n* p-values\n* Coefficients\n\n== Definition ==\nAnalysis of covariance (ANCOVA) is the statistical test that compares the means of more than two groups by taking under the control the ""noise"" caused by covariate variable that is not of experimental interest. This is done')]"
What are the strengths and challenges of Content Analysis?,"Strengths of Content Analysis include its ability to counteract biases and allow researchers to apply their own social-scientific constructs. Challenges include potential biases in the sampling process, development of the coding scheme, and interpretation of data, as well as the inability to generalize theories and hypotheses beyond the data in qualitative analysis of smaller samples."," Content Analysis is a diverse and qualitative method of analyzable data. The strengths of Content Analysis are that it can be analyzed using a wide range of data, and it can be analyzed in a qualitative or automated method. The challenges of Content Analysis are that it is difficult to interpret ambiguous language, and the development of an appropriate algorithm and text recognition software is a challenge.","[Document(page_content='a diverse set of data can be analyzed using Content Analysis. ""Anything that occurs in sufficient numbers and has reasonably stable meanings for a specific group of people may be subjected to content analysis."" (Krippendorff 1989, p.404). The data must convey a message to the receiver and be durable (2, 3). Often, Content Analysis focuses on data that are difficult or impossible to interpret with other methods (3). The data may exist \'naturally\' and be publicly available, for example verbal discourse, written documents, or visual representations from mass media (newspapers, books, films, comics etc.); or be rather unavailable to the public, such as personal letters or witness accounts. The data may also be generated for the research purpose (e.g. interview transcripts) (1, 2, 4).  \n\nWhile there is a wide range of qualitative Content Analysis approaches, this entry will focus on joint characteristics of these. For more information on the different'), Document(page_content='Interview|semi-structured interviews]].\n* Content Analysis is one form of textual analysis. The latter also includes other approaches such as discourse analysis, rhetorical analysis, or [[Ethnography|ethnographic]] analysis (2). However, Content Analysis differs from these methods in terms of methodological elements and the kinds of questions it addresses (2).\n\n\n== Outlook ==\n* The usage of automated coding with the use of computers may be seen as one important future direction of the method (1, 5). To date, the human interpretation of ambiguous language imposes a high validity of the results which cannot (yet) be provided by a computer. Alas, the development of an appropriate algorithm and text recognition software pose a challenge. The meaning of words changes in different contexts and several expressions may mean the same. Especially in terms of qualitative analyses, this currently makes human coders indispensable. Yet, the emergence of big data, Artificial Intelligence and [[Machine Learning]] might make it possible in the foreseeable future to')]"
What are the three main methods to calculate the correlation coefficient and how do they differ?,"The three main methods to calculate the correlation coefficient are Pearson's, Spearman's rank, and Kendall's rank. Pearson's is the most popular and is sensitive to linear relationships with continuous data. Spearman's and Kendall's are non-parametric methods based on ranks, sensitive to non-linear relationships, and measure the monotonic association. Spearman's calculates the rank order of the variables' values, while Kendall's computes the degree of similarity between two sets of ranks."," The three main methods to calculate the correlation coefficient are Pearson's correlation coefficient, Spearman's rank correlation coefficient, and Kendall's rank correlation coefficient. Pearson's correlation coefficient is sensitive to linear relationships and is the most popular method, Spearman's rank correlation coefficient is more sensitive to non-linear relationships and measures the monotonic association, and Kendall's rank correlation coefficient computes the degree of similarity between two sets of ranks.

Correlation analysis is a versatile and frequently used quantitative method that can be applied to all kinds of quantitative continuous data from all","[Document(page_content=""calculate the correlation coefficient: Pearson's correlation coefficient, Spearman's rank correlation coefficient and Kendall's rank coefficient. \n'''Pearson's correlation coefficient''' is the most popular among them. This measure only allows the input of continuous data and is sensitive to linear relationships. \nWhile Pearson's correlation coefficient is a parametric measure, the other two are non-parametric methods based on ranks. Therefore, they are more sensitive to non-linear relationships and measure the monotonic association - either positive or negative. '''Spearman's rank correlation''' coefficient calculates the rank order of the variables' values using a monotonic function whereas '''Kendall's rank correlation coefficient''' computes the degree of similarity between two sets of ranks introducing concordant and discordant pairs.\nSince Pearson's correlation coefficient is the most frequently used one among the correlation coefficients, the examples shown later based on this correlation method.\n\n== Scatter Plot ==\n=== Definition ===\nScatter plots are easy to build and the right way to go, if""), Document(page_content=""-1 to 1. A coefficient close to 0 indicates a weak correlation. A coefficient close to 1 indicates a strong positive correlation, and a coefficient close to -1 indicates a strong negative correlation. \n\nCorrelations can be applied to all kinds of quantitative continuous data from all spatial and temporal scales, from diverse methodological origins including [[Survey]]s and Census data, ecological measurements, economical measurements, GIS and more. Correlations are also used in both inductive and deductive approaches. This versatility makes correlation analysis one of the most frequently used quantitative methods to date.\n\n'''There are different forms of correlation analysis.''' The Pearson correlation is usually applied to normally distributed data, or more precisely, data that shows a [https://365datascience.com/students-t-distribution/ Student's t-distribution]. Alternative correlation measures like [https://www.statisticssolutions.com/kendalls-tau-and-spearmans-rank-correlation-coefficient/ Kendall's tau and"")]"
What is the purpose of a correlogram?,"A correlogram is used to visualize correlation coefficients for multiple variables, allowing for quick determination of relationships, their strength, and direction."," The purpose of a correlogram is to visualize the correlation coefficients of more than two variables. It is a plot that can quickly determine whether there is a relationship between the variables or not, and the different colors give the strength and direction of the relationship.","[Document(page_content='much more informative and attractive.\n\n\n== Correlogram ==\n=== Definition ===\nThe correlogram visualizes the calculated correlation coefficients for more than two variables. You can quickly determine whether there is a relationship between the variables or not. The different colors give you also the strength and the direction of the relationship. To create such a correlogram, you need to install the R package <syntaxhighlight lang=""R"" inline>corrplot</syntaxhighlight> and import the library. Before we start to create and customize the correlogram, we can calculate the correlation coefficients of the variables and store it in a variable. It is also possible to calculate it when creating the plot, but this makes your code more clear.\n\n=== R Code ===\n<syntaxhighlight lang=""R"" line>\nlibrary(corrplot)\ncorrelations <- cor(mtcars)\n</syntaxhighlight>\n\nClear and meaningful coding and plots are important. In order to achieve this, we have to change the names of the variables'), Document(page_content=""'''Note:''' This entry revolves specifically around Correlation Plots, including Scatter Plots, Line charts and Correlograms. For more general information on quantitative data visualisation, please refer to [[Introduction to statistical figures]]. For more info on Data distributions, please refer to the entry on [[Data distribution]].\n<br/>\n'''In short:''' Correlations describe the mutual relationship between two variables. They provide the possibility\nto measure the relation between any kind of quantitative data - may it be continuous, discrete and interval data, yet there are even correlations for ordinal data, although these shall be less relevant for us. In this entry you will learn about how to build correlation plots in R. To learn more about correlations in theoretical terms, please refer to the entry on [[Correlations]]. To learn about Partial Correlations, please refer to [https://sustainabilitymethods.org/index.php/Partial_Correlation this entry].\n__TOC__\n<br/>\n== What are correlation plots? ==\nIf"")]"
What is telemetry?,Telemetry is a method used in wildlife ecology that uses radio signals to gather information about an animal.,"

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telemetry.

The question is a telem","[Document(page_content='to dive deeper into System Dynamics. There is a short introduction lecture by MIT professor John Sterman available [https://www.youtube.com/watch?t=163&v=AnTwZVviXyY&feature=youtu.be here.]\n\n----\n[[Category:Qualitative]]\n[[Category:Quantitative]]\n[[Category:Inductive]]\n[[Category:System]]\n[[Category:Global]]\n[[Category:Past]]\n[[Category:Present]]\n[[Category:Future]]\n[[Category:Methods]]\n\nThe [[Table_of_Contributors| author]] of this entry is Christopher Franz.'), Document(page_content='und die damit verbundenen neuen Kommunikationsformen lösten einen Austausch zwischen Forscher*innen in einem beispiellosen Tempo aus. Alle Mittel der elektronischen Kommunikation, Online-Zeitschriften und die Tatsache, dass viele Forscher*innen heute über einen eigenen Computer verfügen, führten zu einer exponentiellen Zunahme der wissenschaftlichen Zusammenarbeit. Während dies manchmal auch Opportunismus und eine Verschiebung hin zu Quantität statt Qualität in der Forschung mit sich bringt, ist es unbestreitbar, dass heute viele wissenschaftliche Informationen nicht weiter von uns entfernt sind als ein Mausklick. Technologie kann kein Selbstzweck sein, aber als Mittel zum Zweck ermöglicht sie heute ein exponentielles Forschungstempo, das sich am deutlichsten in der Corona-Krise manifestiert hat. Die globale')]"
What is a common reason for deviation from the normal distribution?,"A common reason for deviation from the normal distribution is human actions, which have caused changes in patterns such as weight distribution."," The most abundant reason for a deviance from the normal distribution is us. We changed the planet and ourselves, creating effects that may change everything, up to the normal distribution.","[Document(page_content=""is large enough. Consequently, much of the probabilistic statistics is built on the normal distribution.\n\n\n==== Why some distributions are skewed ====\n[[File:SkewedDistribution.png|thumb|500px|right|'''Data can be skewed.''' These graphs show you how distributions can differ according to mode, median and mean of the displayed data.]]\n\nThe most abundant reason for a deviance from the normal distribution is us. We changed the planet and ourselves, creating effects that may change everything, up to the normal distribution. Take [https://link.springer.com/content/pdf/10.1186/1471-2458-12-439.pdf weight]. Today the human population shows a very complex pattern in terms of weight distribution across the globe, and there are many reasons why the weight distribution does not follow a normal distribution. There is no such thing as a normal weight, but studies from indigenous communities show a normal distribution in the weight found in their populations. Within our wider world, this""), Document(page_content=""phenomena we can observe follow a normal distribution.''' The fact that many do not want this to be true is I think associated to the fact that it makes us assume that the world is not complex, which is counterintuitive to many. While I believe that the world can be complex, there are many natural laws that explain many phenomena we investigate. The Gaussian [https://www.youtube.com/watch?v=mtbJbDwqWLE normal distribution] is such an example. [https://studiousguy.com/real-life-examples-normal-distribution/ Most things] that can be measured in any sense (length, weight etc.) are normally distributed, meaning that if you measure many different items of the same thing, the data follows a normal distribution. \n\nThe easiest example is [https://statisticsbyjim.com/basics/normal-distribution/ tallness of people]. While there is a gender difference in terms of height, all people that would identify as e.g."")]"
How can the Shapiro-Wilk test be used in data distribution?,"The Shapiro-Wilk test can be used to check for normal distribution in data. If the test results are insignificant (p-value > 0.05), it can be assumed that the data is normally distributed."," The Shapiro-Wilk test is a test used to test whether a sample's data is distributed according to a normal distribution. The test can be used to compare the distribution of a sample's data to a normal distribution. If the test's ''statistic'' is significant, the data is distributed according to a normal distribution. If the test's ''statistic'' is significant, the data is distributed according to a normal distribution. If the test's ''statistic'' is significant, the data is distributed according to a normal distribution. If the test's ''statistic'' is significant, the data","[Document(page_content=""'''In short:''' The (Student’s) t-distributions ares a family of continuous distributions. The distribution describes how the means of small samples of a normal distribution are distributed around the distributions true mean. T-tests can be used to investigate whether there is a significant difference between two groups regarding a mean value (two-sample t-test) or the mean in one group compared to a fixed value (one-sample t-test). \n\nThis entry focuses on the mathematics behind T-tests and covers one-sample t-tests and two-sample t-tests, including independent samples and paired samples. For more information on the t-test and other comparable approaches, please refer to the entry on [[Simple Statistical Tests]]. For more information on t-testing in R, please refer to this [[T-Test|entry]].\n\n__TOC__\n\n==t-Distribution==\nThe (Student’s) t-distributions ares a family of continuous distributions. The distribution describes how the means of small samples of a normal distribution are distributed around the""), Document(page_content=""continuous distributions. The distribution describes how the means of small samples of a normal distribution are distributed around the distributions true mean. The locations ''x'' of the means of samples with size n and ''ν = n−1'' degrees of freedom are distributed according to the following probability distribution function:\n[[File:prbdistribution.png|700px|frameless|center]]\nThe gamma function:\n[[File:prbdistribution1.png|700px|frameless|center]]\nFor integer values:\n[[File:prbdistribution2.png|700px|frameless|center]]\nThe t-distribution is symmetric and approximates the normal distribution for large sample sizes.\n\n==t-test==\nTo compare the mean of a distribution with another distributions mean or an arbitrary value μ, a t-test can be used. Depending on the kind of t-test to be conducted, a different t-statistic has to be used. The t-statistic is a random variable which is distributed according to the t-distribution,"")]"
Why is the Delphi method chosen over traditional forecasting methods?,The Delphi method is chosen over traditional forecasting methods due to a lack of empirical data or theoretical foundations to approach a problem. It's also chosen when the collective judgment of experts is beneficial to problem-solving., The Delphi method is chosen over traditional forecasting methods when a lack of empirical data or theoretical foundations to approach a problem is a reason to choose Delphi. Delphi may also be an appropriate choice if the collective subjective judgment by the experts is beneficial to the problem-solving process.,"[Document(page_content='""Delphi group improved between rounds 1 and 3 in 13 of the questions.""\'\'\' (p.320). They also found that ""[d]isagreeing with the rest of the group increased the probability of adopting a new opinion, which was usually an improvement"" (p.322) and that the Delphi process ""clearly outperformed simple trend extrapolations based on the assumption that the growth rates observed in the past will continue in the future"", which they had calculated prior to the Delphi (p.324). Based on the post-Delphi survey answers, and the results for the 15 variables, the researchers further inferred that ""paying attention to each others\' answers made the forecasts more accurate"" (p.320), and that the participants were well able to assess the accuracy of their own estimates. The researchers calculated many more measures and a comparison to a non-Delphi forecasting round, which you can read more about in the publication. Overall, this'), Document(page_content='and thus facilitates consensus. The participants may also provide reasons for their positions (5, 6). Again, the results are analyzed. The process continues in several rounds (typically 2-5) until a satisfactory degree of consensus among all participants is reached (2-6).\n\n4. Finally, the results of the process are summarized and evaluated for all participants (4).\n\n\n== Strengths & Challenges ==\nThe literature indicates a variety of benefits that the Delphi method offers. \n* Delphi originally emerged due to a lack of data that would have been necessary for traditional forecasting methods. To this day, such a lack of empirical data or theoretical foundations to approach a problem remains a reason to choose Delphi. Delphi may also be an appropriate choice if the collective subjective judgment by the experts is beneficial to the problem-solving process (2, 4, 5, 6).\n* Delphi can be used as a form of group counseling when other forms, such as face-to-face interactions between')]"
What is the main goal of Sustainability Science and what are the challenges it faces?,"The main goal of Sustainability Science is to develop practical and contexts-sensitive solutions to existent problems through cooperative research with societal actors. The challenges it faces include the need for more work to solve problems and create solutions, the importance of how solutions and knowledge are created, the necessity for society and science to work together, and the challenge of building an educational system that is reflexive and interconnected.", Sustainability Science is an transdisciplinary research that goal is to to transform societies and the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,"[Document(page_content=""in Heinrichs, H. et al. (eds.), 2016. Sustainability Science, Dordrecht: Springer Netherlands. Available at: http://link.springer.com/10.1007/978-‐94-‐017-‐7242-‐62.   \n\n\n== References ==\n* Lang et al. 2012. ''Transdisciplinary research in sustainability science: practice, principles, and challenges''.\n\n* Kates et al. 2015. ''Sustainability Science''.\n\n* Stock, P. Burton, R.J.F. 2011. ''Defining Terms for Integrated (Multi-Inter-Trans-Disciplinary Sustainability Research)''. Sustainability 3. 1090-1113.\n\n* Arnold, A. Piontek, F. ''Zentrale Begriffe im Kontext der Reallaborforschung.'' in: Defila, R. Di Giulio, A. (eds). 2018.""), Document(page_content=""and challenges.'' Sustainability Science 7. 25-43.\n\nDefila, R. Di Giulio, A. (eds). 2018. ''Transdisziplinär und transformativ forschen. Eine Methodensammlung.'' Springer VS.\n\nBrandt et al. 2013. ''A review of transdisciplinary research in sustainability science.'' Ecological Economics 92. 1-15.\n\nGAIA Special Episode ''Labs in the Real World - Advancing Transdisciplinarity and Transformations''. \n\nGibbons, M. (ed.) 1994. ''The new production of knowledge: The dynamics of science and research in contemporary societies.'' SAGE.\n\nWiek, A. and Lang D.J., 2016. ''Transformational Sustainability Research Methodology''. In: Heinrichs, H. et al. (eds.). 2016. ''Sustainability Science''. Dordrecht: Springer Netherlands.\n\n\n== Quellen ==\n*"")]"
Why are critical theory and ethics important in modern science?,"Critical theory and ethics are important in modern science because it is flawed with a singular worldview, built on oppression and inequalities, and often lacks the necessary link between empirical and ethical consequences."," Critical theory and ethics are important in modern science to consider the ethical conduct and consequences of research, as scientific knowledge is often kept in silos and can be flawed in its foundations, and to engage with society at large.","[Document(page_content='well as other current developments of philosophy can be seen as a thriving towards an integrated and holistic philosophy of science, which may ultimately link to an overaching theory of ethics (Parfit). If the empirical and the critical inform us, then both a philosophy of science and ethics may tell us how we may act based on our perceptions of reality.\n\n== Further Information ==\n[https://www.thoughtco.com/critical-theory-3026623 Some words on Critical Theory]<br>\n[https://www.newworldencyclopedia.org/entry/Critical_realism#Contemporary_critical_realism A short entry on critical realism]\n----\n[[Category:Normativity of Methods]]\n\nThe [[Table_of_Contributors|author]] of this entry is Henrik von Wehrden.'), Document(page_content=""that provides a singular and non-holistic worldview, and is widely built on oppression and inequalities. Consequently, the scientific system per se is flawed as its foundations are morally questionable, and often lack the necessary link between the empirical and the ethical consequences of science. Critical theory and ethics are hence the necessary precondition we need to engage with as researchers continuously.\n\n'''Interaction of scientific methods with philosophy and society'''\nScience is challenged: while our scientific knowledge is ever-increasing, this knowledge is often kept in silos, which neither interact with other silos nor with society at large. Scientific disciplines should not only orientate their wider focus and daily interaction more strongly towards society, but also need to reintegrate the humanities in order to enable researchers to consider the ethical conduct and consequences of their research. \n\n* [[History of Methods]]\n* [[History of Methods (German)]]\n\n=== Methods in science ===\nA great diversity of methods exists in science, and no overview that is independent from a disciplinary bias exists to"")]"
What is system thinking?,"System thinking is a method of investigation that considers interactions and interdependencies within a system, instead of breaking it into parts.", System thinking is a method of understanding and describing the behavior of a system by observing the interrelationships between its components and the non-linear dynamics of the system as a whole.,"[Document(page_content='(scientific) model of a system is an expression of System Thinking, but there is more to System Thinking than just building and working with system models (1). System Thinking revolves around the notion of \'holistic\' understanding, i.e. the idea that the components of a system can best be understood by also observing adjacent components and attempting to understand their connections. Among diverging definitions of the term, recurring characteristics of System Thinking are the acknowledgement of non-linear interrelationships between system elements, including [[Glossary|feedback loop]]s, that lead to dynamic behavior of the system and make it necessary to examine the whole system instead of only its parts (6). Further, System Thinking assumes that ""(...) all system dynamics are in principle non-linear"" and that ""(...) only non-linear equations are capable of describing systems that follow non-equililbrium conditions"" (Haraldsson 2004, p.6).\n\n\'\'\'Peter Checkland introduced the notion that there are two main types of System'), Document(page_content='\'Thinking in Systems\' by \'\'\'Donella Meadows\'\'\', who had been co-authoring the landmark \'Limits to Growth\' before. Sustainability Science, which attempts to bridge the world how it is with the world how it ought to be, relies on System Thinking to understand how the world is and in which \'[[Glossary|leverage points]]\' one needs to intervene to bring about change. System Thinking can also be applied outside of scientific research, e.g. to analyze company-internal processes, for marketing purposes etc. (see e.g. 3)\n\n\n== What the method does ==\nBefore explaining System Thinking, it should first be explained what is a \'system\'.\n\n==== Systems, System Thinking, System Analysis & System Dynamics ====\nA system is a ""(...) network of multiple variables that are connected to each other through causal relationships"", based on which the network ""(...) expresses some sort of behaviour, which can only be characterized through observation as a whole"" (Haraldsson')]"
What is the main principle of the Feynman Method?,The main principle of the Feynman Method is that explaining a topic to someone is the best way to learn it.,"
The main principle of the Feynman Method is to explain a topic to someone in a way that they can understand it, in a way that you can explain it to anyone. This helps you to better understand the topic and to be able to transfer your knowledge to unknown situations.","[Document(page_content='Richard Feynman, is a learning technique that builds on the idea that explaining a topic to someone is the best way to learn it. This approach helps us better understand what we are learning, and not just memorize technical terms. This way, we can more easily transfer our new knowledge to unknown situations.\n\n== Goals ==\n* Obtain a profound understanding of any topic.\n* Learn more quickly and with more depth.\n* Become able to explain any given topic to anyone.\n\n== Getting Started ==\nThe Feynman method is a simple, circular process:\n\n# \'\'\'Select the topic you want to learn more about.\'\'\' This can be something you need to learn for an exam, or something you are just interested in knowing more about. Don\'t go to broad - focus on a specific topic. You will not be able to explain ""Economics"" or ""Physics"" in one go.\n# \'\'\'Find someone to talk to\'\'\'. Ideally, this person does not know anything about this topic. If you'), Document(page_content=""'''Have a look at your notes and try to find more information.''' Read scientific publications, Wikipedia entries or dedicated books; watch documentaries or YouTube videos - have a look at everything that may help you better understand the topic, and fill your knowledge gaps. Pay attention to the technical terms that you used, and find better ways to explain these things without relying on the terms.\n# '''Now explain the topic again.''' Possibly you can speak to the same person as previously. Did they understood you better now? Were you able to explain also those parts that you could not properly explain before? There will likely still be some gaps, or unclear spots in your explanation. This is why the Feynman method is circular: go back to the second step of taking notes, and repeat until you can confidently explain the topic to anyone, and they will understand it. Now you have also understood it. Congratulations!\n\n== Links & Further Reading ==\n*"")]"
What is the difference between fixed and random factors in ANOVA designs?,"Fixed effects (or fixed factors) are the focus of the study, while random effects (or random factors) are aspects we want to ignore. In medical trials, whether someone smokes is usually a random factor, unless the study is specifically about smoking. Factors in a block design are typically random, while variables related to our hypothesis are fixed.","

fixed factors are variables that are part of the research hypothesis and are explicitly included in the design to answer the research question.

 random factors are elements that are not part of the research hypothesis and are not explicitly included in the design, such as information about whether someone smokes or not.","[Document(page_content='fixed or a random] factor is often difficult to consider. Generally, fixed effects are about what we want to find out, while random effects are about aspects which variance we explicitly want to ignore, or better, get rid of. However, it is our choice and part of our design whether a factor is random or fixed. Within most medical trials the information whether someone smokes or not is a random factor, since it is known that smoking influences much of what these studies might be focusing about. This is of course different if these studies focus explicitly on the effects of smoking. Then smoking would be a fixed factor, and the fact whether someone smokes or not is part of the research. Typically, factors that are part of a block design are random factors, and variables that are constructs relating to our hypothesis are fixed variables. To this end, it is helpful to consult existing studies to differentiate between [https://www.youtube.com/watch?v=Vb0GvznHf8U random and'), Document(page_content='to correct for so called random factors, which are elements for which the variance is calculated out of the ANOVA model. This allows for instance to increase the sample size to minimise the effects of the variance in an agricultural experiment which is being conducted on several agricultural fields. In this example, agricultural fields are then included as block factor, which allows to minimise the variance inferred by these replications. Hence, the variance of the agricultural fields is tamed by a higher number of replicates. This led to the ANOVA becoming one of the most relevant methods in statistics, yet recent developments such as the reproducibility crisis in psychology highlight that care needs to be taken to not overplay ones hand. Preregistering hypotheses and more recognition of the [[Limitations of Statistics|limitations]] of such designs currently pave a path towards a more critical future of statistical designs. \n\nAnother development that emerged during the last decades is the conducting of so called real-world experiments, which are often singular case studies')]"
What is the replication crisis and how does it affect modern research?,"The replication crisis refers to the inability to reproduce a substantial proportion of modern research, affecting fields like psychology, medicine, and economics. This is due to statistical issues such as the arbitrary significance threshold of p=0.05, flaws in the connection between theory and methodological design, and the increasing complexity of statistical models.","

1. In modern research, a significant proportion of studies cannot be replicate. This is called the replication crisis.
2. This crisis is affecting many fields, like psychology, medicine, and economics.
3. There are many reasons for this crisis, but some of the roots are the connection between theory and methodological design, the use of complex models, and the culture of statistical fishing.
4. Researchers are now preregistration of their study design to safeguarding from later manipulation.
5. This crisis also led to the cascading effects of antibi","[Document(page_content='of landmark papers- failed spectacularly. In other words, a substantial proportion of modern research cannot be reproduced. This crisis affects many arenas in sciences, among them psychology, medicine, and economics. While much can be said about the roots and reasons of this crisis, let us look at it from a statistical standpoint. First of all, at a threshold of p=0.05, a certain arbitrary amount of models can be expected to be significant purely by chance. Second, studies are often flawed through the connection between theory and methodological design, where for instance much of the dull results remains unpublished, and statistical designs can biased towards a specific results. Third, statistics slowly eroded into a culture where more complex models and the rate of statistical fishing increased. Here, a preregistration of your design can help, which is often done now in psychology and medicine. Researchers submit their study design to an external platform before they conduct their study, thereby safeguarding from later manipulation. Much can be said to'), Document(page_content='other fields] of production to thrive, but then also did medicine, [https://www.simplypsychology.org/milgram.html psychology], ecology and even [https://www.nature.com/articles/s41599-019-0372-0 economics] use experimental approaches to test specific questions. This systematic generation of knowledge triggered a revolution in science, as knowledge became subsequently more specific and detailed. Take antibiotics, where a wide array of remedies was successively developed and tested. This triggered the cascading effects of antibiotic resistance, demanding new and updated versions to keep track with the bacteria that are likewise constantly evolving. This showcases that while the field experiment led to many positive developments, it also created ripples that are hard to anticipate. There is an overall crisis in complex experiments that is called replication crisis. What is basically meant by that is that some possibilities to replicate the results of studies -often also of landmark papers- failed spectacularly. In other words, a substantial proportion of modern research cannot be')]"
What is the purpose and process of the flashlight method in group discussions?,"The flashlight method is used to get an immediate understanding of where group members stand on a specific question or topic, or how they feel at a particular moment. It is initiated by a team leader or member, and involves everyone sharing a short statement of their opinion. Only questions for clarification are allowed during the round, and any arising issues are discussed afterwards."," The flashlight method is a quick and efficient method to get an immediate picture and evaluation of where the group members stand in relation to a specific question, the general course of discussion, or how they personally feel. The process is to flash a flashlight on a participant, and they get to voice their own point without interruption. The method is useful for giving every participant a voice, especially the quiet and shy ones, and for having successful flashlight rounds in small and big groups. The request to keep ones own statement short and concise may distract people from listening carefully, and starting by giving the question and let","[Document(page_content=""===== ''Please note further'' =====\n* The flashlight can be used as a starting round or energizer in between.\n* The team leader should be aware of good timing, usefulness at this point, and the setting for the flashlight. \n* The method is quick and efficient, and allows every participant to voice their own point without interruption. This especially benefits the usually quiet and shy voices to be heard. On the downside, especially the quiet and shy participants can feel uncomfortable being forced to talk to the whole group. Knowing the group dynamics is key to having successful flashlight rounds in small and big groups.  \n* The request to keep ones own statement short and concise may distract people from listening carefully, because everyone is crafting their statements in their heads instead. To avoid that distraction, start by giving the question and let everyone think for 1-2 minutes.\n* Flashlights in groups with 30+ participants can work well, however, the rounds get very long, and depending on the flashed""), Document(page_content='{|class=""wikitable"" style=""text-align: center; width: 100%""\n! colspan = ""4"" | Type !! colspan = ""4"" | Team Size\n|-\n| \'\'\'[[:Category:Collaborative Tools|Collaborative Tools]]\'\'\' || [[:Category:Software|Software]] || [[:Category:Personal Skills|Personal Skills]] || \'\'\'[[:Category:Productivity Tools|Productivity Tools]]\'\'\' || [[:Category:Team Size 1|1]] || \'\'\'[[:Category:Team Size 2-10|2-10]]\'\'\' || \'\'\'[[:Category:Team Size 11-30|11-30]]\'\'\' || \'\'\'[[:Category:Team Size 30+|30+]]\'\'\'\n|}\n\n== What, Why & When ==\nThe flashlight method is used during sessions to get an immediate picture and evaluation of where the group members stand in relation to a specific question, the general course of discussion, or how they personally')]"
What types of data can Generalized Linear Models handle and calculate?,"Generalized Linear Models can handle and calculate dependent variables that can be count data, binary data, or proportions. It also can calculate continuous variables that deviates from the normal distribution."," Generalized Linear Models can handle and calculate dependent variables that consist of count data, binary data, and proportions.","[Document(page_content=""that heavily rely on Generalized Linear Models. GLMs paved the road for even more complex models such as additive models and generalised [[Mixed Effect Models|mixed effect models]]. Today, Generalized Linear Models can be considered to be part of the standard repertoire of researchers with advanced knowledge in statistics.\n\n\n== What the method does ==\nGeneralized Linear Models are statistical analyses, yet the dependencies of these models often translate into specific sampling designs that make these statistical approaches already a part of an inherent and often [[Glossary|deductive]] methodological approach. Such advanced designs are among the highest art of quantitative deductive research designs, yet Generalized Linear Models are used to initially check/inspect data within inductive analysis as well. Generalized Linear Models calculate dependent variables that can consist of count data, binary data, and are also able to calculate data that represents proportions. '''Mechanically speaking, Generalized Linear Models are able to calculate relations between continuous variables where the dependent variable deviates from the normal""), Document(page_content=""Linear Models are able to calculate relations between continuous variables where the dependent variable deviates from the normal distribution'''. The calculation of GLMs is possible with many common statistical software solutions such as R and SPSS. Generalized Linear Models thus represent a powerful means of calculation that can be seen as a necessary part of the toolbox of an advanced statistician.\n\n== Strengths & Challenges ==\n'''Generalized Linear Models allow powerful calculations in a messy and thus often not normally distributed world.''' Many datasets violate the assumption of the normal distribution, and this is where GLMs take over and clearly allow for an analysis of datasets that are often closer to dynamics found in the real world, particularly [[Experiments_and_Hypothesis_Testing#The_history_of_the_field_experiment | outside of designed studies]]. GLMs thus represented a breakthrough in the analysis of datasets that are skewed or imperfect, may it be because of the nature of the data itself, or because of imperfections and flaws in data sampling. \nIn addition"")]"
