contexts;summary;question;ground_truths
"Regression assumptions
# The relationship between dependent and independent variables must be linear for each treatment group.
ANOVA assumptions
# Variances between groups are homogeneous.
# Residuals are randomly and normally distributed.
Specific ANCOVA assumptions
# A further specific (but optional) assumption is homogeneity of slopes. It is optional because it is only required to simplify the model for estimation of adjusted means.";ANCOVA has various assumptions, including linear relationships between variables, homogeneity of variances between groups, normal distribution of residuals, and optionally, homogeneity of slopes.;What are the assumptions associated with ANCOVA?;ANCOVA assumptions include linearity, homogeneity of variances, normal distribution of residuals, and optionally, homogeneity of slopes.
"Content Analysis counteracts biases because it ""(...) assures not only that all units of analysis receive equal treatment, whether they are entered at the beginning or at the end of an analysis but also that the process is objective in that it does not matter who performs the analysis or where and when."" (see Normativity) (Krippendorff 1989, p.404). In this case, 'objective' refers to 'intersubjective'. Yet, biases cannot be entirely prevented, e.g. in the sampling process, the development of the coding scheme, or the interpretation and evaluation of the coded data. Content Analysis allows for researchers to apply their own social-scientific constructs ""by which texts may become meaningful in ways that a culture may not be aware of."" (Krippendorff 1989, p.404) However, especially in case of qualitative analysis of smaller data sample sizes, the theory and hypotheses derived from data cannot be generalized beyond this data (1). Triangulation, i.e. the comparison of the findings to other knowledge on the same topic, may provide more validity to the conclusions (see Normativity).";Content Analysis helps counteract biases by ensuring equal treatment of all units of analysis and maintaining objectivity. However, biases can still occur in the sampling process, development of the coding scheme, and interpretation of data. Researchers can apply their own social-scientific constructs in Content Analysis. In qualitative analysis of smaller data samples, theories and hypotheses cannot be generalized beyond the data. Triangulation can provide more validity to the conclusions.;What are the strengths and challenges of Content Analysis?;Strengths of Content Analysis include its ability to counteract biases and allow researchers to apply their own social-scientific constructs. Challenges include potential biases in the sampling process, development of the coding scheme, and interpretation of data, as well as the inability to generalize theories and hypotheses beyond the data in qualitative analysis of smaller samples.
Generally, there are three main methods to calculate the correlation coefficient: Pearson's correlation coefficient, Spearman's rank correlation coefficient and Kendall's rank coefficient. Pearson's correlation coefficient is the most popular among them. This measure only allows the input of continuous data and is sensitive to linear relationships. While Pearson's correlation coefficient is a parametric measure, the other two are non-parametric methods based on ranks. Therefore, they are more sensitive to non-linear relationships and measure the monotonic association - either positive or negative. Spearman's rank correlation coefficient calculates the rank order of the variables' values using a monotonic function whereas Kendall's rank correlation coefficient computes the degree of similarity between two sets of ranks introducing concordant and discordant pairs.;There are three main methods to calculate the correlation coefficient: Pearson's, Spearman's rank, and Kendall's rank. Pearson's is the most popular and is sensitive to linear relationships with continuous data. Spearman's and Kendall's are non-parametric methods based on ranks, sensitive to non-linear relationships, and measure the monotonic association. Spearman's calculates the rank order of the variables' values, while Kendall's computes the degree of similarity between two sets of ranks.;What are the three main methods to calculate the correlation coefficient and how do they differ?;The three main methods to calculate the correlation coefficient are Pearson's, Spearman's rank, and Kendall's rank. Pearson's is the most popular and is sensitive to linear relationships with continuous data. Spearman's and Kendall's are non-parametric methods based on ranks, sensitive to non-linear relationships, and measure the monotonic association. Spearman's calculates the rank order of the variables' values, while Kendall's computes the degree of similarity between two sets of ranks.
The correlogram visualizes the calculated correlation coefficients for more than two variables. You can quickly determine whether there is a relationship between the variables or not. The different colors give you also the strength and the direction of the relationship. To create such a correlogram, you need to install the R package corrplot and import the library. Before we start to create and customize the correlogram, we can calculate the correlation coefficients of the variables and store it in a variable. It is also possible to calculate it when creating the plot, but this makes your code more clear.;A correlogram visualizes correlation coefficients for multiple variables, allowing quick determination of relationships, strength, and direction. The R package corrplot is required to create a correlogram. Correlation coefficients can be calculated and stored in a variable before creating the plot for clearer code.;What is the purpose of a correlogram and how is it created?;A correlogram is used to visualize correlation coefficients for multiple variables, allowing for quick determination of relationships, their strength, and direction. It is created using the R package corrplot. Correlation coefficients can be calculated and stored in a variable before creating the plot for clearer code.
Telemetry is another method that was further developed in recent years, although it has been used already for decades in wildlife ecology. Telemetry is “the system of determining information about an animal through the use of radio signals from or to a device carried by the animal” (11). For birds, this method can be applied in areas ranging in size from restricted breeding territories of resident bird species to movement patterns of international migratory species. Also, the distribution patterns of infectious diseases of migratory species can be tracked (11). However, for some birds, negative effects on nesting behavior were observed (12).;Telemetry, a method used in wildlife ecology for decades, has been further developed in recent years. It uses radio signals to gather information about an animal and can be applied to birds in various contexts, from restricted breeding territories to international migratory patterns. It can also track the distribution of infectious diseases among migratory species, though it can have negative effects on some birds' nesting behavior.;What is telemetry?;Telemetry is a method used in wildlife ecology that uses radio signals to gather information about an animal.
The most abundant reason for a deviance from the normal distribution is us. We changed the planet and ourselves, creating effects that may change everything, up to the normal distribution. Take weight. Today the human population shows a very complex pattern in terms of weight distribution across the globe, and there are many reasons why the weight distribution does not follow a normal distribution. There is no such thing as a normal weight, but studies from indigenous communities show a normal distribution in the weight found in their populations. Within our wider world, this is clearly different.;Human actions have caused deviations from the normal distribution, such as in weight distribution. Today's global weight distribution is complex and does not follow a normal distribution. However, studies from indigenous communities show a normal weight distribution.;What is a common reason for deviation from the normal distribution?;A common reason for deviation from the normal distribution is human actions, which have caused changes in patterns such as weight distribution.
You can also use the Shapiro-Wilk test to check for normal distribution. If the test returns insignificant results (p-value > 0.05), we can assume normal distribution. This barplot (at the left) represents the number of front-seat passengers that were killed or seriously injured annually from 1969 to 1985 in the UK. And here comes the magic trick: If you sort the annually number of people from the lowest to the highest (and slightly lower the resolution), a normal distribution evolves (histogram at the left).;The Shapiro-Wilk test can be used to check for normal distribution. If the test results are insignificant (p-value > 0.05), it can be assumed that the data is normally distributed. A barplot representing the number of front-seat passengers killed or seriously injured annually in the UK from 1969 to 1985 shows a normal distribution when sorted from lowest to highest.;How can the Shapiro-Wilk test be used in data distribution?;The Shapiro-Wilk test can be used to check for normal distribution in data. If the test results are insignificant (p-value > 0.05), it can be assumed that the data is normally distributed.
The literature indicates a variety of benefits that the Delphi method offers. Delphi originally emerged due to a lack of data that would have been necessary for traditional forecasting methods. To this day, such a lack of empirical data or theoretical foundations to approach a problem remains a reason to choose Delphi. Delphi may also be an appropriate choice if the collective subjective judgment by the experts is beneficial to the problem-solving process. Delphi can be used as a form of group counseling when other forms, such as face-to-face interactions between multiple stakeholders, are not feasible or even detrimental to the process due to counterproductive group dynamics.;The Delphi method offers several benefits. It emerged due to a lack of data for traditional forecasting methods and is still chosen for the same reason. It's also chosen when the collective judgment of experts is beneficial to problem-solving. Delphi can be used as group counseling when other forms are not feasible or detrimental due to counterproductive group dynamics.;Why is the Delphi method chosen over traditional forecasting methods?;The Delphi method is chosen over traditional forecasting methods due to a lack of empirical data or theoretical foundations to approach a problem. It's also chosen when the collective judgment of experts is beneficial to problem-solving.
At the heart of Sustainability Science are, among other elements, the premise of intentionally developing practical and contexts-sensitive solutions to existent problems, as well as the implementation of cooperative research modes to do so jointly with societal actors, supporting social learning and capacity building in society. To this end, Caniglia et al. (2020) suggest three types of knowledge that should be developed and incorporated by Sustainability Science: This showcases that this knowledge - and more importantly - the perspective from a philosophy-of-science viewpoint is only starting to emerge, and much more work will be needed until our methodological canon and the knowledge we want to produce enable us to solve the problems we are facing, but also to create these solution in ways that are closer to a mode how we want to create these solutions. We may well be able to solve certain things, and to produce knowledge that can be seen as solutions. I would however argue, that it also matters how we create these solutions and how we create knowledge. Only if people are empowered and society and science work seamlessly together - with ethical restrictions and guidelines in place, of course - will we not only produce the knowledge needed, but we also produce it in a way how we should as scientists. Science is often disconnected and even arrogant, and building an educational system that is reflexive and interconnected will be maybe the largest challenge we face. This is why we give you these criteria here, because I think that we need to consider what further design criteria can be in order to enhance and diversify our conceptual thinking about the scientific methodological canon. Plurality on scientific methods will necessarily mean to evolve, and in this age of interconnectedness, our journey is only beginning.;Sustainability Science aims to develop practical solutions to existing problems through cooperative research with societal actors. Caniglia et al. suggest three types of knowledge to be developed and incorporated by Sustainability Science. The perspective from a philosophy-of-science viewpoint is emerging, and more work is needed to solve problems and create solutions. It's important how solutions and knowledge are created, and it's necessary for society and science to work together. The challenge is to build an educational system that is reflexive and interconnected. Further design criteria are needed to enhance and diversify the scientific methodological canon.;What is the main goal of Sustainability Science and what are the challenges it faces?;The main goal of Sustainability Science is to develop practical and contexts-sensitive solutions to existent problems through cooperative research with societal actors. The challenges it faces include the need for more work to solve problems and create solutions, the importance of how solutions and knowledge are created, the necessity for society and science to work together, and the challenge of building an educational system that is reflexive and interconnected.
The initial lecture presents a rough overview of the history of science on a shoestring, focussing both on philosophy as well as - more specifically - philosophy of science. Starting with the ancients we focus on the earliest preconditions that paved the way towards the historical development of scientific methods. We have to recognise that modern science is a system that provides a singular and non-holistic worldview, and is widely built on oppression and inequalities. Consequently, the scientific system per se is flawed as its foundations are morally questionable, and often lack the necessary link between the empirical and the ethical consequences of science. Critical theory and ethics are hence the necessary precondition we need to engage with as researchers continuously.;The history of science, starting from ancient times, has led to the development of scientific methods. However, modern science is flawed as it provides a singular worldview, built on oppression and inequalities. It lacks the necessary link between empirical and ethical consequences. Therefore, critical theory and ethics are essential for researchers.;Why are critical theory and ethics important in modern science?;Critical theory and ethics are important in modern science because it is flawed with a singular worldview, built on oppression and inequalities, and often lacks the necessary link between empirical and ethical consequences.
System thinking gained prominence during the last century, allowing to take interactions and interdependencies into account when investigating a system. To this end, a ‘system’ stands for something that is in the focus of the investigation, such as a catchment area, a business enterprise, a social institution, or a population of wasps. Such systems show signs of complexity, which means that the interactions of smaller entities in the system may be unpredictable or chaotic, which makes systems more than the sum of their parts. Under this definition, solving problems within a system is often the greatest challenge: while the system dynamics may be understandable, the solutions for an emerging problem are not instantly available. Consequently, solutions for complex problems emerge, and this demands a new line of thinking about systems.;System thinking, which considers interactions and interdependencies, became prominent in the last century. A 'system' could be anything under investigation, such as a business or a population of wasps. These systems are complex, with unpredictable interactions making them more than the sum of their parts. Solving problems within these systems is challenging, requiring a new way of thinking as solutions emerge.;What is system thinking?;System thinking is a method of investigation that considers interactions and interdependencies within a system, which could be anything from a business to a population of wasps.
The Feynman Method, named after famous physician Richard Feynman, is a learning technique that builds on the idea that explaining a topic to someone is the best way to learn it. This approach helps us better understand what we are learning, and not just memorize technical terms. This way, we can more easily transfer our new knowledge to unknown situations.;The Feynman Method is a learning technique that emphasizes explaining a topic to someone as the best way to understand it. It promotes understanding over memorization, making it easier to apply new knowledge to different situations.;What is the main principle of the Feynman Method?;The main principle of the Feynman Method is that explaining a topic to someone is the best way to learn it.
Within ANOVA designs, the question whether a variable is a fixed or a random factor is often difficult to consider. Generally, fixed effects are about what we want to find out, while random effects are about aspects which variance we explicitly want to ignore, or better, get rid of. However, it is our choice and part of our design whether a factor is random or fixed. Within most medical trials the information whether someone smokes or not is a random factor, since it is known that smoking influences much of what these studies might be focusing about. This is of course different if these studies focus explicitly on the effects of smoking. Then smoking would be a fixed factor, and the fact whether someone smokes or not is part of the research. Typically, factors that are part of a block design are random factors, and variables that are constructs relating to our hypothesis are fixed variables. To this end, it is helpful to consult existing studies to differentiate between random and fixed factors. Current medical trials may consider many variables, and have to take even more random factors into account. Testing the impact of random factors on the raw data is often a first step when looking at initial data, yet this does not help if it is a purely deductive design. In this case, simplified pre-tests are often a first step to make initial attempts to understand the system and also check whether variables - both fixed or random - are feasible and can be utilised in the respective design. Initial pre-tests at such smaller scales are a typical approach in medical research, yet other branches of research reject them as being too unsystematic. Fisher himself championed small sample designs, and we would encourage pre-tests in field experiments if at all possible. Later flaws and errors in the design can be prevented, although form a statistical standpoint the value of such pre-tests may be limited at best.;In ANOVA designs, determining whether a variable is a fixed or random factor can be challenging. Fixed effects are the focus of the study, while random effects are aspects we want to ignore. In medical trials, whether someone smokes is usually a random factor, unless the study is specifically about smoking. Factors in a block design are typically random, while variables related to our hypothesis are fixed. Pre-tests are often used to understand the system and check the feasibility of variables.;What is the difference between fixed and random factors in ANOVA designs?;Fixed effects are the focus of the study, while random effects are aspects we want to ignore. In medical trials, whether someone smokes is usually a random factor, unless the study is specifically about smoking. Factors in a block design are typically random, while variables related to our hypothesis are fixed.
There is an overall crisis in complex experiments that is called replication crisis. What is basically meant by that is that some possibilities to replicate the results of studies -often also of landmark papers- failed spectacularly. In other words, a substantial proportion of modern research cannot be reproduced. This crisis affects many arenas in sciences, among them psychology, medicine, and economics. While much can be said about the roots and reasons of this crisis, let us look at it from a statistical standpoint. First of all, at a threshold of p=0.05, a certain arbitrary amount of models can be expected to be significant purely by chance. Second, studies are often flawed through the connection between theory and methodological design, where for instance much of the dull results remains unpublished, and statistical designs can biased towards a specific results. Third, statistics slowly eroded into a culture where more complex models and the rate of statistical fishing increased.;The replication crisis refers to the inability to reproduce a substantial proportion of modern research, affecting fields like psychology, medicine, and economics. This can be attributed to statistical issues such as the arbitrary significance threshold of p=0.05, flaws in the connection between theory and methodological design, and the increasing complexity of statistical models.;What is the replication crisis and how does it affect modern research?;The replication crisis refers to the inability to reproduce a substantial proportion of modern research, affecting fields like psychology, medicine, and economics. This is due to statistical issues such as the arbitrary significance threshold of p=0.05, flaws in the connection between theory and methodological design, and the increasing complexity of statistical models.
The flashlight method is used during sessions to get an immediate picture and evaluation of where the group members stand in relation to a specific question, the general course of discussion, or how they personally feel at that moment. Flashlight rounds can be initiated by the team leader or a team member. Everyone is asked to share their opinion in a short 2-3 sentence statement. During the flashlight round everyone is listening and only questions for clarification are allowed. Arising issues can be discussed after the flashlight round ended.;The flashlight method is a tool used in group discussions to gauge participants' views on a specific topic or their feelings at a given moment. Initiated by a team leader or member, everyone shares a brief statement of their opinion. During this round, only clarification questions are permitted, with further issues discussed after the round.;What is the purpose and process of the flashlight method in group discussions?;The flashlight method is used to get an immediate understanding of where group members stand on a specific question or topic, or how they feel at a particular moment. It is initiated by a team leader or member, and involves everyone sharing a short statement of their opinion. Only questions for clarification are allowed during the round, and any arising issues are discussed afterwards.
Generalized Linear Models are statistical analyses, yet the dependencies of these models often translate into specific sampling designs that make these statistical approaches already a part of an inherent and often deductive methodological approach. Such advanced designs are among the highest art of quantitative deductive research designs, yet Generalized Linear Models are used to initially check/inspect data within inductive analysis as well. Generalized Linear Models calculate dependent variables that can consist of count data, binary data, and are also able to calculate data that represents proportions. Mechanically speaking, Generalized Linear Models are able to calculate relations between continuous variables where the dependent variable deviates from the normal distribution. The calculation of GLMs is possible with many common statistical software solutions such as R and SPSS. Generalized Linear Models thus represent a powerful means of calculation that can be seen as a necessary part of the toolbox of an advanced statistician.;Generalized Linear Models (GLMs) are statistical analyses that can handle specific sampling designs and calculate dependent variables that can be count data, binary data, or proportions. They can calculate relations between continuous variables where the dependent variable deviates from the normal distribution. GLMs can be calculated with common statistical software like R and SPSS, making them a crucial tool for advanced statisticians.;What types of data can Generalized Linear Models handle and calculate?;Generalized Linear Models can handle and calculate dependent variables that can be count data, binary data, or proportions.
A heatmap is a graphical representation of data where the individual numerical values are substituted with colored cells. In other words, it is a table with colors in place of numbers. As in the regular table, in the heatmap, each column is a feature and each row is an observation. Heatmaps are useful to get an overall understanding of the data. While it can be hard to look at the table of numbers it is much easier to perceive the colors. Thus it can be easily seen which value is larger or smaller in comparison to others and how they are generally distributed.;A heatmap is a data visualization tool where numerical values are replaced with colors, making it easier to understand the data. Each column represents a feature and each row an observation.;What is a heatmap and why is it useful?;A heatmap is a graphical representation of data where numerical values are replaced with colors. It is useful for understanding data as it allows for easy comparison of values and their distribution.
Many concrete steps brought us closer to the concrete application of scientific methods, among them - notably - the approach of controlled testing by the Arabian mathematician and astronomer Alhazen (a.k.a. Ibn al-Haytham). Emerging from the mathematics of antiquity and combining this with the generally rising investigation of physics, Alhazen was the first to manipulate experimental conditions in a systematic sense, thereby paving the way towards the scientific method, which would emerge centuries later. Alhazen is also relevant because he could be considered a polymath, highlighting the rise of more knowledge that actually enabled such characters, but still being too far away from the true formation of the diverse canon of scientific disciplines, which would probably have welcomed him as an expert on one matter or the other. Of course Alhazen stands here only as one of many that formed the rise of science on the Islamic world during medieval times, which can be seen as a cradle of Western science, and also as a continuity from the antics, when in Europe much of the immediate Greek and Roman heritage was lost.;The approach of controlled testing by Arabian mathematician and astronomer Alhazen brought us closer to the concrete application of scientific methods. Alhazen, emerging from the mathematics of antiquity and combining this with the rising investigation of physics, was the first to systematically manipulate experimental conditions, paving the way for the scientific method. Alhazen, a polymath, highlights the rise of knowledge that enabled such characters, but was still far from the true formation of the diverse canon of scientific disciplines. Alhazen is one of many who contributed to the rise of science in the Islamic world during medieval times, seen as a cradle of Western science and a continuity from the ancients, when much of the Greek and Roman heritage was lost in Europe.;How did Alhazen contribute to the development of scientific methods?;Alhazen contributed to the development of scientific methods by being the first to systematically manipulate experimental conditions, paving the way for the scientific method.
Multivariate data can be principally shown by three ways of graphical representation: ordination plots, cluster diagrams or network plots. Ordination plots may encapsulate such diverse approaches as decorana plots, principal component analysis plots, or results from a non-metric dimensional scaling. Typically, the first two most important axis are shown, and additional information can be added post hoc. While these plots show continuous patterns, cluster dendrogramms show the grouping of data. These plots are often helpful to show hierarchical structures in data. Network plots show diverse interactions between different parts of the data. While these can have underlying statistical analysis embedded, such network plots are often more graphical representations than statistical tests.;Multivariate data can be represented graphically in three ways: ordination plots, cluster diagrams, and network plots. Ordination plots can include various approaches like decorana plots, principal component analysis plots, or results from non-metric dimensional scaling. Cluster diagrams show the grouping of data and are useful for displaying hierarchical structures. Network plots illustrate interactions between different parts of the data and are more graphical than statistical.;How can multivariate data be graphically represented?;Multivariate data can be graphically represented through ordination plots, cluster diagrams, and network plots. Ordination plots can include various approaches like decorana plots, principal component analysis plots, or results from non-metric dimensional scaling. Cluster diagrams show the grouping of data and are useful for displaying hierarchical structures. Network plots illustrate interactions between different parts of the data.
Traditionally in the fields of computer science and mathematics, you have some input and some rule in form of a function. You feed the input into the rule and get some output. In this setting, you need to know the rule exactly in order to create a system that gives you the outputs that you need. This works quite well in many situations where the nature of inputs and/or the nature of the outputs is well understood. However, in situations where the inputs can be noisy or the outputs are expected to be different in each case, you cannot hand-craft the rules that account for every type of inputs or for every type of output imaginable. In such a scenario, another powerful approach can be applied: Machine Learning.;In traditional computer science and mathematics, a rule or function is used to process inputs and generate outputs. This works well when inputs and outputs are well understood. However, when inputs are noisy or outputs vary, it's not feasible to create rules for every possible scenario. In these cases, Machine Learning can be used.;What is the advantage of using Machine Learning over traditional rules or functions in computer science and mathematics?;Machine Learning can handle scenarios where inputs are noisy or outputs vary, which is not feasible with traditional rules or functions.
"Machine Learning techniques perform very well - sometimes better than humans- on variety of tasks (eg. detecting cancer from x-ray images, playing chess, art authentication, etc.) In a variety of situations where outcomes are noisy, Machine Learning models perform better than rule-based models. Even though many methods in the field of Machine Learning have been researched quite extensively, the techniques still suffer from a lack of interpretability and explainability. Reproducibility crisis is a big problem in the field of Machine Learning research as highlighted in [6]. Machine Learning approaches have been criticized as being a ""brute force"" approach of solving tasks. Machine Learning techniques only perform well when the dataset size is large. With large data sets, training a ML model takes a large computational resources that can be costly in terms of time and money.";Machine learning techniques excel in various tasks, often outperforming humans and rule-based models, especially in noisy situations. However, they suffer from a lack of interpretability and explainability, and face a reproducibility crisis. They are often criticized as a 'brute force' approach and require large datasets and significant computational resources, which can be costly.;What are some of the challenges faced by machine learning techniques?;Some of the challenges faced by machine learning techniques include a lack of interpretability and explainability, a reproducibility crisis, and the need for large datasets and significant computational resources.
